order_id,customer_id,product_id,quantity,order_date
1,56,6,2,2023-02-12
2,30,94,1,2023-09-10
3,4,36,2,2023-11-04
4,73,49,2,2023-12-25
5,30,9,1,2023-10-04
6,3,19,2,2023-01-31
7,68,69,1,2023-12-25
8,45,60,1,2023-05-15
9,6,23,2,2023-02-04
10,54,70,1,2023-03-09
11,32,47,4,2023-03-22
12,40,70,2,2023-01-03
13,42,51,4,2023-06-22
14,54,75,1,2023-04-23
15,27,13,1,2023-04-13
16,95,38,2,2023-12-18
17,9,64,4,2023-07-23
18,17,57,2,2023-12-14
19,4,3,3,2023-01-15
20,25,25,2,2023-07-15
21,38,93,5,2023-07-28
22,99,32,4,2023-05-28
23,81,35,3,2023-04-15
24,28,63,2,2023-09-20
25,52,51,4,2023-02-04
26,76,13,1,2023-11-13
27,28,35,5,2023-05-27
28,39,46,2,2023-08-03
29,38,3,5,2023-01-09
30,57,43,5,2023-08-11
31,89,34,5,2023-04-13
32,4,47,1,2023-04-11
33,24,60,5,2023-10-15
34,88,77,1,2023-12-04
35,76,40,4,2023-12-03
36,30,33,1,2023-09-02
37,30,76,5,2023-11-08
38,68,48,3,2023-01-02
39,72,84,1,2023-11-29
40,62,85,1,2023-05-24
41,25,29,1,2023-01-05
42,3,9,1,2023-01-13
43,81,42,1,2024-01-01
44,66,16,1,2023-05-06
45,49,94,3,2023-03-18
46,40,19,1,2023-10-05
47,10,70,5,2023-05-30
48,95,85,4,2023-04-30
49,77,60,2,2023-01-22
50,100,49,2,2023-06-22
51,10,47,2,2023-08-10
52,60,98,4,2023-08-13
53,61,51,2,2023-08-03
54,72,56,3,2023-06-21
55,76,39,4,2023-08-07
56,82,44,4,2023-02-19
57,94,56,2,2023-01-14
58,32,81,3,2023-05-14
59,97,17,1,2023-10-29
60,45,44,2,2023-11-07
61,34,90,4,2023-02-13
62,41,15,2,2023-02-17
63,64,95,2,2023-05-25
64,15,69,5,2023-03-10
65,59,18,4,2023-05-11
66,42,54,4,2023-01-02
67,70,87,1,2023-06-10
68,50,32,5,2023-05-24
69,41,69,2,2023-03-03
70,6,46,4,2023-11-15
71,87,84,1,2023-09-02
72,36,41,3,2023-05-14
73,75,26,4,2023-01-06
74,6,69,1,2023-03-10
75,93,38,4,2023-01-28
76,75,84,5,2023-05-01
77,6,99,1,2023-03-07
78,59,91,2,2023-07-29
79,94,39,5,2023-02-28
80,11,29,3,2023-02-04
81,59,67,2,2023-01-04
82,49,11,5,2023-07-27
83,74,77,1,2023-05-08
84,9,27,2,2023-10-24
85,98,29,5,2023-06-10
86,32,97,1,2023-03-11
87,28,91,5,2023-09-06
88,25,9,5,2023-09-23
89,36,49,3,2023-09-03
90,21,38,3,2023-01-30
91,91,96,3,2023-09-11
92,14,5,4,2023-12-12
93,14,60,4,2023-01-14
94,91,32,1,2023-05-26
95,76,9,4,2023-04-30
96,94,66,5,2023-08-17
97,75,94,5,2023-06-22
98,12,86,4,2023-07-25
99,53,25,5,2023-03-23
100,72,8,1,2023-08-24
